URL,Unique ID,Primary material,Manufacture method,Image URL,Saved Image
https://finds.org.uk/database/artefacts/record/id/886662,BH-46C909,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH46C909.jpg,Fotos_monedas\BH-46C909.jpg
https://finds.org.uk/database/artefacts/record/id/886660,BH-46AF61,Copper alloy,Cast,https://finds.org.uk/images/mfittock/medium/BH46AF61.jpg,Fotos_monedas\BH-46AF61.jpg
https://finds.org.uk/database/artefacts/record/id/886625,BH-44B34E,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH44B34E.jpg,Fotos_monedas\BH-44B34E.jpg
https://finds.org.uk/database/artefacts/record/id/886614,BH-4446F4,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH4446F4.jpg,Fotos_monedas\BH-4446F4.jpg
https://finds.org.uk/database/artefacts/record/id/886610,BH-442098,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH442098.jpg,Fotos_monedas\BH-442098.jpg
https://finds.org.uk/database/artefacts/record/id/886609,BH-441709,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH441709.jpg,Fotos_monedas\BH-441709.jpg
https://finds.org.uk/database/artefacts/record/id/886605,BH-440175,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH440175.jpg,Fotos_monedas\BH-440175.jpg
https://finds.org.uk/database/artefacts/record/id/886603,BH-43D058,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH43D058a.jpg,Fotos_monedas\BH-43D058.jpg
https://finds.org.uk/database/artefacts/record/id/886599,BH-43ADCD,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH43ADCD.jpg,Fotos_monedas\BH-43ADCD.jpg
https://finds.org.uk/database/artefacts/record/id/886598,BH-439E32,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH439E32.jpg,Fotos_monedas\BH-439E32.jpg
https://finds.org.uk/database/artefacts/record/id/886595,BH-43944A,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/bh43944a.jpg,Fotos_monedas\BH-43944A.jpg
https://finds.org.uk/database/artefacts/record/id/886594,BH-43896D,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH43896D.jpg,Fotos_monedas\BH-43896D.jpg
https://finds.org.uk/database/artefacts/record/id/886592,BH-436A6D,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH436A6D.jpg,Fotos_monedas\BH-436A6D.jpg
https://finds.org.uk/database/artefacts/record/id/886589,BH-434994,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH434994.jpg,Fotos_monedas\BH-434994.jpg
https://finds.org.uk/database/artefacts/record/id/886586,BH-432BC8,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH432BC8.jpg,Fotos_monedas\BH-432BC8.jpg
https://finds.org.uk/database/artefacts/record/id/886584,BH-42F811,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH42F811.jpg,Fotos_monedas\BH-42F811.jpg
https://finds.org.uk/database/artefacts/record/id/886568,BH-342FC5,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH342FC5.jpg,Fotos_monedas\BH-342FC5.jpg
https://finds.org.uk/database/artefacts/record/id/886566,BH-34115E,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH34115E.jpg,Fotos_monedas\BH-34115E.jpg
https://finds.org.uk/database/artefacts/record/id/886563,BH-33FD04,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH33FD04.jpg,Fotos_monedas\BH-33FD04.jpg
https://finds.org.uk/database/artefacts/record/id/886562,BH-33EE5A,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH33EE5A.jpg,Fotos_monedas\BH-33EE5A.jpg
https://finds.org.uk/database/artefacts/record/id/886560,BH-33D509,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH33D509.jpg,Fotos_monedas\BH-33D509.jpg
https://finds.org.uk/database/artefacts/record/id/883995,BH-07D33C,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH07D33C.jpg,Fotos_monedas\BH-07D33C.jpg
https://finds.org.uk/database/artefacts/record/id/883978,BH-0693BC,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH0693BC.jpg,Fotos_monedas\BH-0693BC.jpg
